"determinand_id","determinand_desc","definition","unit_of_measure","unit_of_measure_desc"
9402,"Rain24HrDy02","Rainfall : Total daily, 24 Hour : Day 02","mm","MILLIMETRE"
2335,"Psud-a  C-MF","Pseudomonas aeruginosa : Confirmed : MF","no/100ml","NUMBER PER HUNDRED MILLILITRES"
6070,"Taxa - Total","Taxa : Total","no.","NUMBER"
9212,"Flow24HrFT12","Flow : Full treatment, 24 Hour : Day 12","ml","MEGALITRE"
4003,"BromoformWWT","Bromoform : Wet Wt :- {Tribromomethane}","ug/kg","MICROGRAM PER KILOGRAM"
1983,"Botryococcus","Botryococcus","no/ml","NUMBER PER MILLILITRE"
9954,"26DiNitToLch","2,6-Dinitrotoluene, Leachable :- {2,6-DNT}","ug/l","MICROGRAM PER LITRE"
9764,"p Xylene DW","1,4-Dimethylbenzene : Dry Wt :- {p-Xylene}","mg/kg","MILLIGRAM PER KILOGRAM"
8670,"benzene","Benzene","ng/l","NANOGRAM PER LITRE"
5839,"4Cl3NTol LWW","4-Chloro-3-nitrotoluene, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9574,"Pyridine","Pyridine","mg/l","MILLIGRAM PER LITRE"
4745,"C>7-8 DW","Equiv.Carbon No >7-8 : Dry Wt
8 : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
8480,"ALDEHY_LCH","Aldehydes, Leachable : Dry Wt as Formaldehyde","mg/kg","MILLIGRAM PER KILOGRAM"
3651,"Clotrimazole","Clotrimazole","ug","Micrograms"
9384,"Hexane","Hexane","% v/v","Percent  vol/vol"
4555,"246TClPhen L","2,4,6-Trichlorophenol, Leachable","ug/l","MICROGRAM PER LITRE"
8290,"UV SCAN Rep","UV Scan : Report available","yes/no","YES(1) OR NO(0)"
5459,"TDE op LchWW","TDE -op, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
9194,"Nitrogen Tot","Nitrogen, Total as N","ug/l","MICROGRAM PER LITRE"
3271,"1,2,4-TCB","1,2,4-Trichlorobenzene","ng/l","NANOGRAM PER LITRE"
5269,"Ag Leachable","Silver, Leachable","mg/l","MILLIGRAM PER LITRE"
6413,"Closterium","Closterium","no/ml","NUMBER PER MILLILITRE"
4175,"Propchlr LDW","Propachlor, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3081,"Isodrin","Isodrin","ng/l","NANOGRAM PER LITRE"
5079,"Cu 2:1 S1 D","Copper, L/S 2:1 : 12457-3 Stage 1 : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
6223,"Copepoda","Copepoda","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7127,"Ethan1,2diol","Ethylene glycol :- {Ethan-1,2-diol}","ng/l","NANOGRAM PER LITRE"
6033,"Cadmium - Cd","Cadmium","ng/l","NANOGRAM PER LITRE"
1204,"Li - Wet Wt","Lithium : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
110,"AmmoniaLoad","Ammoniacal Nitrogen : Total load","kg/d","KILOGRAM PER DAY"
6965,"MancozebWWt","Mancozeb : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
7869,"PETROL","Petrol :- {Gasoline}","mg/l","MILLIGRAM PER LITRE"
6775,"ColfmF","Coliforms, Faecal","no/ml","NUMBER PER MILLILITRE"
7679,"P Wet Wt","Phosphorus : Wet Wt as P","mg/kg","MILLIGRAM PER KILOGRAM"
9917,"Phage MS2","Phage : MS2","no/ml","NUMBER PER MILLILITRE"
8823,"Bi214 ERR","Bismuth Bi-214, Count error","%","PERCENTAGE"
6585,"4-CHLOROPHEN","4-Chlorophenoxyacetic acid","mg/l","MILLIGRAM PER LITRE"
5491,"Fluorene LW","Fluorene, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
2900,"Ethoprophos","Ethoprophos","ug/l","MICROGRAM PER LITRE"
6395,"Gold - as Au","Gold","ng/l","NANOGRAM PER LITRE"
9537,"ZirconiumDWt","Zirconium : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4708,"1,2-Dichloro","1,2-Dichlorotetrafluoroethane","ug/m3","Micrograms per cubic metre"
8443,"PCB 170DW","PCB - 170 : Dry Wt","ng/kg","NANOGRAM PER KILOGRAM"
9347,"PCB 52 DW","PCB - 052 : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4518,"Benzyl Alc L","Benzyl Acohol, Leachable","ug/l","MICROGRAM PER LITRE"
282,"B - Partic","Boron, Particulate","mg/l","MILLIGRAM PER LITRE"
3424,"BOD AddDil 3","B.O.D. Additional dilution 3","unitless","UNITLESS VALUE"
3044,"BNaph-thiop","Benzo[b]naph[2,1-d]thiophene","ug/m3","Micrograms per cubic metre"
3786,"Triazophos","Triazophos","ng/l","NANOGRAM PER LITRE"
4930,"Iron Loose D","Iron, Loosely bound : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5834,"24D IPE LWW","2,4-D Iso Propyl Ester, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
3596,"B(b)fluoran","Benzo(b)fluoranthene","ug/m3","Micrograms per cubic metre"
6738,"TrietazinDWt","Trietazine : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4740,"12Dibromethn","1,2-Dibromoethane","ug/m3","Micrograms per cubic metre"
4550,"2ClNaphth LD","2-Chloronaphthalene, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
5454,"TCB TotLchWW","Trichlorobenzene Total, Leachable : Wet Wt (Calculated)","ug/kg","MICROGRAM PER KILOGRAM"
6358,"Hydrometra","Hydrometra","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
5264,"13+14MeBenzL","Dimethylbenzene : Sum of isomers (1,3- 1,4-) : Leachable","mg/l","MILLIGRAM PER LITRE"
6168,"Agapetus Sp.","Agapetus sp.","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
4170,"Simazine L","Simazine, Leachable","ug/l","MICROGRAM PER LITRE"
7312,"%UV250-260","UV at 250-260 nm : Percentage","%","PERCENTAGE"
5074,"DOC 2:1 S1 D","Carbon, Organic, Diss, L/S 2:1 : 12457-3 Stage 1 : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
1149,"ZnCuNiAvaDWt","Zinc Equivalent (Zn Cu Ni ) : Available : Dry Wt as Zn","mg/kg","MILLIGRAM PER KILOGRAM"
55,"HCH Beta DWt","HCH -beta : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8026,"Met Grp 71","Metals : Total ( Cu Zn ) : Group 71","mg/l","MILLIGRAM PER LITRE"
6960,"FluorideFilt","Fluoride, Dissolved","ug/l","MICROGRAM PER LITRE"
987,"Fenoprop","Fenoprop","mg/l","MILLIGRAM PER LITRE"
8768,"EPTC","EPTC","ng/l","NANOGRAM PER LITRE"
3939,"IPDI","Isophorone Diisocyanate","ug/l","MICROGRAM PER LITRE"
7674,"BROMOX OCTAN","Bromoxynil octanoate","mg/l","MILLIGRAM PER LITRE"
8578,"ISOVALACID W","3-Methylbutanoic acid : Wet Wt :- {iso-Valeric acid}","mg/kg","MILLIGRAM PER KILOGRAM"
9722,"LaurylSulpht","Lauryl Sulphate :- {Surfactants}","ug/l","MICROGRAM PER LITRE"
2655,"Peritrichs","Peritrichs, Protozoa","no/mg","NUMBER PER MILLIGRAM"
6390,"Hdss CaCO3","Hardness, Calcium as CaCO3","mg/l","MILLIGRAM PER LITRE"
8388,"Eulan DW","Eulan : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
3559,"BOD","BOD : Load","mg/s","MILLIGRAMS PER SEC"
9532,"Use det 8171","Alpha-Cypermethrin :- {Cypermethrin-alpha}","ug/l","MICROGRAM PER LITRE"
7294,"M T A","Morpholine-4-thiocarbonicanilide :- {MTA}","ug/l","MICROGRAM PER LITRE"
4703,"Heptane","Heptane","ug/m3","Micrograms per cubic metre"
3369,"SomaticColip","Coliphage : Somatic","pfu/10l","PLAQUE FORMING UNITS/10L"
4513,"b(2ClE)Et LD","Bis(2-chloroethyl)ether, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3179,"Chlorophld a","Chlorophyllide a","ug/l","MICROGRAM PER LITRE"
18,"Phenols Scrd","Phenols : Screened (Mono- and Di- Hydric)","mg/l","MILLIGRAM PER LITRE"
8990,"Cadmium DGT","Cadmium : DGT extract {Diffuse Gradient Thin Film Device}","ug","Micrograms"
9894,"Fe - M7DyE","Iron : Total moving 7 day emissions","t/ann","TONNES PER ANNUM"
5969,"TNT DW","Trinitrotoluene : Dry Wt :- {TNT}","mg/kg","MILLIGRAM PER KILOGRAM"
5779,"PCB 066 LWW","PCB - 066, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6923,"HEXACHLOROBI","Hexachlorobiphenyl : Dry Wt","ng/kg","NANOGRAM PER KILOGRAM"
4685,"CalorfcVNet","Calorific Value : Nett","kj/kg","KILOJOULE PER KILOGRAM"
3591,"Bromine","Bromine","mg/m3","Milligrams per cubic metre"
7827,"Cl+F orgs G1","Chloro and fluoro organics : Group 1","mg/l","MILLIGRAM PER LITRE"
5589,"HCH-g Lch","HCH -gamma, Leachable :- {Lindane}","ug/l","MICROGRAM PER LITRE"
4495,"DiOcPhthlteL","Di-n-octylphthalate, Leachable","ug/l","MICROGRAM PER LITRE"
5399,"PropetamphsD","Propetamphos : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
7447,"GS11.4-9.1","Grain Size Fraction : 11.4 to 9.1 microns","%","PERCENTAGE"
6353,"Neries-diver","Neries diversicolor","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7257,"EtAcetate WW","Ethyl acetate : Wet Wt :- {Ethyl Ethanoate}","ug/kg","MICROGRAM PER KILOGRAM"
6163,"Rhyacophil-s","Rhyacophila septentrionis","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
9305,"Flow24HrSm05","Flow : Storm, 24 Hour : Day 05","ml","MEGALITRE"
7067,"WtrB-Nitrate","WQMS : Water Bath Temperature, Nitrate electrode","cel","CELSIUS"
240,"Ca - Partic","Calcium, Particulate","mg/l","MILLIGRAM PER LITRE"
1144,"Zygnema","Zygnema","no/ml","NUMBER PER MILLILITRE"
9115,"Flo24HrWDy15","Flow : Total to works, 24 Hour : Day 15","ml","MEGALITRE"
8021,"Met Grp 66","Metals : Total ( Ag Cr Cu Zn ) : Group 66","mg/l","MILLIGRAM PER LITRE"
982,"MCPA","MCPA :- {4-Chloro-2-methylphenoxyacetic acid}","mg/l","MILLIGRAM PER LITRE"
8953,"TolueneExt","Substances Extractable by Toluene : Dry Wt","%","PERCENTAGE"
792,"TetClEthene","Tetrachloroethylene :- {Perchloroethylene}","mg/l","MILLIGRAM PER LITRE"
3934,"Rhodium Filt","Rhodium, Dissolved","mg/l","MILLIGRAM PER LITRE"
9667,"Cumene","Isopropylbenzene :- {Methylethylbenzene}","ug/l","MICROGRAM PER LITRE"
9287,"2chlortoluen","2-Chlorotoluene : Dry Wt :- {1-Chloro-2-methylbenzene}","mg/kg","MILLIGRAM PER KILOGRAM"
4458,"4CumylPhenol","4-CumylPhenol","ug/l","MICROGRAM PER LITRE"
5602,"Acetone Lch","Acetone, Leachable :- {Propanone}","mg/l","MILLIGRAM PER LITRE"
6506,"MgSetSolAcd","Manganese, settled soluble acidified","ug/l","MICROGRAM PER LITRE"
5412,"Doramectin","Doramectin","ug/l","MICROGRAM PER LITRE"
3174,"Clothianidin","Clothianidin","ug/l","MICROGRAM PER LITRE"
6316,"Lymnaea-pere","Lymnaea peregra","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
4078,"Porosity","Porosity","unitless","UNITLESS VALUE"
6126,"Baetis-rhoda","Baetis Rhodani","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
5032,"Tritium","Tritium","bq/l","BECQUERELS PER LITRE"
203,"Lithium - Li","Lithium","mg/l","MILLIGRAM PER LITRE"
13,"Flglts Attch","Flagellates attached","no/mg","NUMBER PER MILLIGRAM"
5774,"PCB 156 LWW","PCB - 156, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
945,"ColfmDamMT7+","Coliforms : Damaged MT-7 : Acid positive","no/100ml","NUMBER PER HUNDRED MILLILITRES"
6678,"PAHs","PAH : Total :- {Polynuclear Aromatic Hydrocarbons}","ug/l","MICROGRAM PER LITRE"
4680,"N-METHYL PYR","N-Methyl Pyrrolidone","ug/m3","Micrograms per cubic metre"
1849,"Euglena","Euglena","no/ml","NUMBER PER MILLILITRE"
7822,"Cl ethanes","Chloroethanes : Sum of derivatives","mg/l","MILLIGRAM PER LITRE"
5584,"DDT pp Lch","DDT -pp, Leachable","ug/l","MICROGRAM PER LITRE"
6488,"Solids","Solids : Total : Load","t/d","TONNE/DAY"
4490,"HCB Lch LD","Hexachlorobenzene, Leachable :Dryt Wt","ug/kg","MICROGRAM PER KILOGRAM"
5394,"FenitrothnDW","Fenitrothion : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8536,"PO4 LEACH WW","Orthophosphate, Leachable : Wet Wt as PO4","mg/kg","MILLIGRAM PER KILOGRAM"
6298,"Glossiphonid","Glossiphonidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7442,"DMS","Dimethyl sulphide :- {DMS}","mg/l","MILLIGRAM PER LITRE"
2613,"Coelosphaerm","Coelosphaerium","no/ml","NUMBER PER MILLILITRE"
3517,"PCB 126","PCB - 126","ug/m3","Micrograms per cubic metre"
7252,"DIURON DW","Diuron : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
8156,"Cl Load","Chloride : Load","t/d","TONNE/DAY"
1089,"Rubidium -Rb","Rubidium","mg/l","MILLIGRAM PER LITRE"
3327,"Simazine","Simazine","ng/l","NANOGRAM PER LITRE"
9300,"Flow24HrStrm","Flow : Storm : 24 Hour","ml","MEGALITRE"
7062,"NitElecHiCOP","WQMS : Nitrate electrode High C.O.P.","%","PERCENTAGE"
3137,"MR Scrn Add2","GCMS Scan : Target Based multi-residue screening : Additional 2","text","Text Result"
9110,"Flo24HrWDy10","Flow : Total to works, 24 Hour : Day 10","ml","MEGALITRE"
7994,"Met Grp 39","Metals : Total ( As Cr Cu Pb Zn ) : Group 39","ug/l","MICROGRAM PER LITRE"
8898,"MIBK DW","Methyl-iso-Butyl-Ketone : Dry Wt :- {4-Methylpentan-2-one}","ug/kg","MICROGRAM PER KILOGRAM"
1881,"Mallomonas","Mallomonas","no/ml","NUMBER PER MILLILITRE"
3879,"Chry+TriphDW","Chrysene + Triphenylene : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
5927,"SALINE DISSO","Preparation : Metals, Saline Dissolved","unitless","UNITLESS VALUE"
9662,"DiClFMethDW","Dichlorofluoromethane : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
9282,"Benzene DW","Benzene : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
718,"B-[a]-pyrene","Benzo(a)Pyrene","ng/l","NANOGRAM PER LITRE"
5357,"Carbazole DW","Carbazole : Dry Wt :- {Diphenylenimine}","mg/kg","MILLIGRAM PER KILOGRAM"
9092,"PCB 20 WW","PCB - 020 : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6501,"Pb di&t WWt","Lead, Di- & Tri- Alkyl : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4263,"Staurastrum","Staurastrum","pres/nf","PRESENT/NOT FOUND"
7405,"Kjeld Nitrog","Nitrogen, Kjeldahl as N","ug/l","MICROGRAM PER LITRE"
5167,"Carbamazepi","Carbamazepine","ug/l","MICROGRAM PER LITRE"
6311,"Potamopyrg-j","Potamopyrgus jenkinsi","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
8309,"2Cl6MePhenol","2-Chloro-6-methylphenol","ug/l","MICROGRAM PER LITRE"
4073,"C>16-24 Lch","Equiv.Carbon No >16-24 : Leachable","mg/l","MILLIGRAM PER LITRE"
148,"Sludge D St","Sludge density stirred :- {SSD}","%","PERCENTAGE"
6121,"Siphlonurs-l","Siphlonurus lacustris","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
8119,"Cd<2mm HF DW","Cadmium, <2000 um : HF Digest : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
7957,"Met Grp 2","Metals : Total ( Cd Cr Cu Ni ) : Group 2","ug/l","MICROGRAM PER LITRE"
7767,"METHANOL","Methanol : Load :- {Methyl alcohol}","kg/d","KILOGRAM PER DAY"
2938,"FloCyIntact","FLOW CYTOMETRY: INTACT CELLS�","no/ml","NUMBER PER MILLILITRE"
8911,"iso-Hexane","iso-Hexane :- {2-Methylpentane }","mg/m3","Milligrams per cubic metre"
7577,"MonButTin DW","Monobutyl Tin : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
750,"Phenols Poly","Phenols : Polyhydric","mg/l","MILLIGRAM PER LITRE"
6483,"Atrazine WWt","Atrazine : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
9625,"TempMaxAirDy","Weather : Temperature of Air : Maximum daily","cel","CELSIUS"
7387,"CP","Clostridium perfringens wellchi","no./m3","Number per cubic metre"
6293,"Lumbricidae","Lumbricidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3702,"TetrbutylTin","Tetrabutyl Tin","ng/l","NANOGRAM PER LITRE"
370,"Cr Hexavalnt","Chromium Hexavalent","mg/l","MILLIGRAM PER LITRE"
4606,"Mevinphos","Mevinphos","ug","Micrograms"
3512,"PCB 156","PCB - 156","ug/m3","Micrograms per cubic metre"
9245,"C4s","Equiv.Carbon No 4 : (Including Butane and iso-Butane)","ppm","PARTS PER MILLION"
1084,"Pentan-1-ol","1-Pentanol :- {n-Pentanol}","mg/l","MILLIGRAM PER LITRE"
4226,"Heptchlor LD","Heptachlor, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
3132,"Misc ID Add3","Miscellaneous Identification : Additional 3","text","Text Result"
4036,"GSF 36-63","Grain Size Fraction : 35 to 63 microns","%","PERCENTAGE"
4968,"Solids qual","Solids Qualitative","text","Text Result"
3874,"Anthanthrene","Anthanthrene","ug/l","MICROGRAM PER LITRE"
4778,"Lemna 7d","Lemna minor 7 day inhibition of growth","text","Text Result"
5922,"PHENOL PREPA","Preparation : Phenol","unitless","UNITLESS VALUE"
6826,"MatR3.35scrn","Material retained on 3.35 mm screen","pres/nf","PRESENT/NOT FOUND"
6636,"Diquat","Diquat","mg/l","MILLIGRAM PER LITRE"
4398,"Salicylic Ac","Salicylic Acid","ug/l","MICROGRAM PER LITRE"
1807,"Chroococcus","Chroococcus","no/ml","NUMBER PER MILLILITRE"
6446,"TDE (PP')WWt","TDE -pp : Wet Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5352,"DiBuPhthlteD","Di-n-butylphthalate : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
523,"Eulan","Eulan","ug/l","MICROGRAM PER LITRE"
6256,"Haliplidae","Haliplidae","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7400,"ACRNIT wwt","Acrylonitrile : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
5162,"HexClNaphtha","Hexachloronaphthalene","ug/l","MICROGRAM PER LITRE"
8304,"F Coli CMF","Coliforms, Faecal : Confirmed : MF","no/10ul","number/10ul"
6066,"BMWP Index","B.M.W.P. :- {Biological monitoring working party}","no.","NUMBER"
7210,"Met Grp104","Metals : Total ( Cd Cr Cu Mn Mo Ni Pb Zn ) : Group 104","mg/l","MILLIGRAM PER LITRE"
9208,"Flow24HrFT08","Flow : Full treatment, 24 Hour : Day 08","ml","MEGALITRE"
8114,"F Strep Pres","Streptococci : Faecal : Presumptive : CFU","no/g","NUMBER PER GRAM"
1047,"Caesium","Caesium","mg/l","MILLIGRAM PER LITRE"
7020,"CoxsackieBT3","Coxsackievirus B Type 3 : 1=Yes : 0=No","yes/no","YES(1) OR NO(0)"
6998,"TungstenFilt","Tungsten, Dissolved","ug/l","MICROGRAM PER LITRE"
7952,"Coli (Con)","Coliforms : Confirmed","no/l","NUMBER PER LITRE"
8856,"Helium","Helium","% v/v","Percent  vol/vol"
7762,"NaCO3","Sodium Carbonate as NaCO3","mg/l","MILLIGRAM PER LITRE"
8666,"Demeton-s","Demeton-S","ng/l","NANOGRAM PER LITRE"
9810,"Hg 30Dy HLd","Mercury : High load - 30 days","kg/30d","KILOGRAM/30 DAY"
3647,"FTFT","Flow : To full treatment (Before spill to storm tank/overflow)","l/s","LITRE PER SECOND"
9620,"4ClTolueneDW","4-Chlorotoluene : Dry Wt :- {4-Chloromethylbenzene}","mg/kg","MILLIGRAM PER KILOGRAM"
7382,"ChromiumLoad","Chromium : Total load","kg/wk","Kilograms per week"
3457,"Venlafaxine","Venlafaxine","ug/l","MICROGRAM PER LITRE"
9430,"Rain24HrDy30","Rainfall : Total daily, 24 Hour : Day 30","mm","MILLIMETRE"
7192,"Met Grp 20","Metals : Total ( Cd Cr Cu Ni Pb Zn ) : Group 20","mg/l","MILLIGRAM PER LITRE"
2363,"Salm C-MPN","Salmonella : Confirmed : MPN","no/100ml","NUMBER PER HUNDRED MILLILITRES"
8096,"n-butAcidLDW","1-Butanoic acid, Leachable : Dry Wt :- {n-Butyric acid}","mg/kg","MILLIGRAM PER KILOGRAM"
9240,"CMAP 400-450","Colour - Max Absorbance Peak Between 400 & 440nm","nm","NANOMETRE"
6409,"Ceratium","Ceratium","no/ml","NUMBER PER MILLILITRE"
3077,"SigCrDNAP:NF","Signal crayfish (Pacifasticus leniusculus) DNA: Present/Not found","pres/nf","PRESENT/NOT FOUND"
5315,"Metalaxyl DW","Metalaxyl : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
6219,"Cladocera","Cladocera","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
4221,"Isodrin L DW","Isodrin, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
5125,"BTEX Total","BTEX :- {Total Benzene Toluene Ethylbenzene and Xylene}","ug/l","MICROGRAM PER LITRE"
6029,"Ag - Partic","Silver, Particulate","ug/l","MICROGRAM PER LITRE"
9982,"2-M MCBT","2-Methylmercaptobenzothiazole","ng/l","NANOGRAM PER LITRE"
9792,"OptDens@580U","Optical Density at 580 nm, Unfiltered","abs/cm","ABSORPTION PER CENTIMETRE"
4963,"Sb - Partic","Antimony, Particulate","ug/l","MICROGRAM PER LITRE"
5867,"37C PC 1d An","Colonies (1 Day) @37C : Anaerobic","no/ml","NUMBER PER MILLILITRE"
5677,"23MePhn Lch","2,3-Dimethylphenol, Leachable","ug/l","MICROGRAM PER LITRE"
8819,"Bi212 ERR","Bismuth Bi-212, Count error","%","PERCENTAGE"
4583,"Propranolol","Propranolol","ug","Micrograms"
5487,"Pyrene LW","Pyrene, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6631,"DDD (OP')","DDD -op","ug/l","MICROGRAM PER LITRE"
8629,"23me naph dw","2,3-Dimethylnaphthalene : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
4393,"Prpranlol DW","Propranolol : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
1802,"Aphanizomenn","Aphanizomenon","no/ml","NUMBER PER MILLILITRE"
7535,"BOD 1d Filt","BOD : 1 Day ATU, Filtered","mg/l","MILLIGRAM PER LITRE"
6441,"Golenkina","Golenkina","pres/nf","PRESENT/NOT FOUND"
7345,"TIN sol Inor","Tin (Inorganic), Dissolved as Sn","mg/l","MILLIGRAM PER LITRE"
6251,"Atherix ibis","Atherix ibis","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
8249,"Dioxins ITEQ","Dioxin : Total as ITEQ","ng/kg","NANOGRAM PER KILOGRAM"
8059,"Flow","Flow","gl/d","GIGALITRE PER DAY"
9203,"Flow24HrFT03","Flow : Full treatment, 24 Hour : Day 03","ml","MEGALITRE"
6993,"DischrgePump","Discharge pump rate","m3/h","CUBIC METRE PER HOUR"
9755,"112TriClEthD","1,1,2-Trichloroethane : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
4736,"1,2,4-TCB","1,2,4-Trichlorobenzene","ug/m3","Micrograms per cubic metre"
9375,"3Chlorotolun","3-Chlorotoluene :- {3-Chloromethylbenzene}","mg/l","MILLIGRAM PER LITRE"
4546,"2MeNaphth L","2-Methylnaphthalene, Leachable","ug/l","MICROGRAM PER LITRE"
3452,"PCB Diox Air","PCB Dioxins Furans Air monitoring","text","Text Result"
6404,"Carbon Tet","Carbon tetrachloride :- {Tetrachloromethane}","mg/l","MILLIGRAM PER LITRE"
4166,"Tecnazne LDW","Tecnazene, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
7308,"pnclB","1-Chloro-4-nitrobenzene :- {p-Chloronitrobenzene}","mg/l","MILLIGRAM PER LITRE"
3072,"Actinastrum","Actinastrum","pres/nf","PRESENT/NOT FOUND"
6214,"Lepidostom-h","Lepidostoma hirtum","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
7118,"DBB EtherDWt","Decabromobiphenyl ether : Dry Wt","ng/kg","NANOGRAM PER KILOGRAM"
5120,"Cyproconazle","Cyproconazole","ug/l","MICROGRAM PER LITRE"
6024,"SiO2-R  Filt","Silica, reactive as SiO2","umol/l","MICROMOLE PER LITRE"
101,"HgInorgPartc","Mercury Inorganic, Particulate","ug/l","MICROGRAM PER LITRE"
6766,"Co%Tran @450","Colour at 450 nm :- {% Transmittance}","%","PERCENTAGE"
7910,"B-V FREQ-5","Brunt Vasala frequency 0-5 Metres","unitless","UNITLESS VALUE"
9908,"Ht Levg Tide","Height of levelling tide","m","METRE"
5672,"25ClPhn Lch","2,5-Dichlorophenol, Leachable","ug/l","MICROGRAM PER LITRE"
8814,"Cs134 COUNT","Caesium Cs-134, Radiometric count : Wet Wt","bq/kg","BECQUERELS PER KILOGRAM"
6576,"34Dichlorbnz","1,2-Dichlorobenzene","ug/l","MICROGRAM PER LITRE"
9718,"1122TetClEtD","1,1,2,2-Tetrachloroethane : Dry Wt","mg/kg","MILLIGRAM PER KILOGRAM"
5482,"BkFluranthLW","Benzo(k)Fluoranthene, Leachable : Wet Wt","ug/kg","MICROGRAM PER KILOGRAM"
6386,"Hdss CaCO3","Hardness, Carbonate as CaCO3","mg/l","MILLIGRAM PER LITRE"
7530,"BOD 9d ATU","BOD : 9 Day ATU, Total","mg/l","MILLIGRAM PER LITRE"
9528,"O D-by-I Set","Oxygen Demand by Instrument, settled as O2","mg/l","MILLIGRAM PER LITRE"
6196,"Cheumatops-l","Cheumatopstche lepida","rel abd","RELABD 1(1)2(5)3(20)4(100)5(500)6(>)"
3605,"Acenapthylen","Acenaphthylene","ug/m3","Micrograms per cubic metre"
4509,"Carbazole LD","Carbazole, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
8244,"Nickel","Nickel","ng/l","NANOGRAM PER LITRE"
7150,"Pb % Dry Wt","Lead : Dry Wt %","%","PERCENTAGE"
2321,"Clost C-MPN","Clostridium perfringens : Confirmed : MPN","no/ml","NUMBER PER MILLILITRE"
4319,"135TCB L DW","1,3,5-Trichlorobenzene, Leachable : Dry Wt","ug/kg","MICROGRAM PER KILOGRAM"
8054,"PAHs(1/2LOD)","PAH : Total (LODs as 1/2)","ug/l","MICROGRAM PER LITRE"
3035,"PFDSA ww","Perfluorodecane sulphonic acid : wet wt","ug/kg","MICROGRAM PER KILOGRAM"
8986,"SI-BWD2","Suite Indicator : BWD2","unitless","UNITLESS VALUE"
